graph_type,node,degree,in_degree,out_degree,betweenness,eigenvector,community
hashtags,hashtag:abogadosmonfortgiordana,9.0,,,1.4043363713192391e-05,0.0024042427133553965,4
hashtags,hashtag:abogadospanama,4.0,,,0.0,0.0005492714409651924,4
hashtags,hashtag:abogadospenalistas,15.0,,,0.0,0.0011408961846148455,4
hashtags,hashtag:abogadosperu,8.0,,,0.0,0.0006728690493714174,4
hashtags,hashtag:abogadostarragona,15.0,,,0.0,0.0011408961846148455,4
hashtags,hashtag:abolici,3.0,,,0.0,0.0034456998708672615,1
hashtags,hashtag:aborto,3.0,,,0.0,0.0034550471845041404,1
hashtags,hashtag:abortolegal,49.0,,,0.00021314450025807123,0.02358217940301563,1
hashtags,hashtag:abortolegalseguroygratuito,4.0,,,0.0,0.0037970168737230764,1
hashtags,hashtag:aborton,4.0,,,0.0,0.0009447663455593791,1
hashtags,hashtag:absoluci,4.0,,,0.0,0.0010299055590465137,4
hashtags,hashtag:absolucion,9.0,,,2.9284958941066636e-06,0.0013240032371435123,4
hashtags,hashtag:abuelaspaternas,11.0,,,0.0,0.004932204582862263,36
hashtags,hashtag:abuelos,3.0,,,0.0,0.0015772654612231523,1
hashtags,hashtag:abundancia,58.0,,,0.0006463744795532516,0.019415110113077064,0
hashtags,hashtag:abundanciayexito,4.0,,,0.0,0.0009250738685891716,0
hashtags,hashtag:abusesurvivor,16.0,,,0.0,0.004993598619449174,23
hashtags,hashtag:abusivas,8.0,,,0.0,0.0031137321860211743,46
hashtags,hashtag:abuso,55.0,,,0.001628632796248189,0.03004052940269883,1
hashtags,hashtag:abusodelderecho,12.0,,,0.0,0.002799423021331456,1
hashtags,hashtag:abusodelsistema,35.0,,,5.000194923777324e-05,0.007881315363067186,1
hashtags,hashtag:abusodom,16.0,,,0.0,0.004993598619449174,23
hashtags,hashtag:abusonotieneg,16.0,,,0.0,0.004993598619449174,23
hashtags,hashtag:abusosexual,28.0,,,8.71181885563569e-05,0.027569194510027616,1
hashtags,hashtag:abusosexualdemenores,4.0,,,0.0,0.0018718325253722075,3
hashtags,hashtag:abutrini,3.0,,,0.0,0.0035278220425536016,1
hashtags,hashtag:abyagval,9.0,,,1.0231755816858584e-05,0.0018151249868346385,2
hashtags,hashtag:acaoerealizacao,16.0,,,0.0,0.002476636839678265,2
hashtags,hashtag:acariguacity,2.0,,,0.0,0.0012295242418909717,0
hashtags,hashtag:acciondetutela,19.0,,,0.0,0.001693421732041801,4
hashtags,hashtag:accountability,18.0,,,3.254758027494427e-05,0.005686804626457913,7
hashtags,hashtag:accseedi,33.0,,,2.468639214840551e-06,0.018654190571881387,1
hashtags,hashtag:accseequidaddiversidadeinclusi,33.0,,,2.468639214840551e-06,0.018654190571881387,1
hashtags,hashtag:aceptatusimperfecciones,15.0,,,0.0,0.010162456787188632,0
hashtags,hashtag:acompa,6.0,,,0.0,0.0017842657815314807,2
hashtags,hashtag:acordabrasil,4.0,,,0.0,0.0010162168137283706,2
hashtags,hashtag:acosoverbal,8.0,,,0.0,0.003783027597036679,3
hashtags,hashtag:acosoverbalcallejero,8.0,,,0.0,0.003783027597036679,3
hashtags,hashtag:actitudalfa,19.0,,,0.0,0.011231217699393366,0
hashtags,hashtag:actitudganadora,79.0,,,0.00029329420331780805,0.03756619960746201,0
hashtags,hashtag:actitudmasculina,19.0,,,0.0,0.0012963095226286245,6
hashtags,hashtag:actitudpositiva,81.0,,,0.0009917682982523528,0.03325965050545041,0
hashtags,hashtag:activadorzemt,4.0,,,7.739004467246366e-06,0.0006854377844479471,6
hashtags,hashtag:activatupoder,19.0,,,0.0,0.002274614306889274,0
hashtags,hashtag:activelifestyle,17.0,,,0.0,9.986825658988697e-05,8
hashtags,hashtag:activismoautista,11.0,,,0.0,0.0018868279476051868,2
hashtags,hashtag:activismofeminista,26.0,,,0.0,0.014959570888893518,1
hashtags,hashtag:actualidad,4.0,,,0.0,0.0010263883004303722,4
hashtags,hashtag:actualidadpolitica,19.0,,,0.0,0.0006034092771935408,4
hashtags,hashtag:acuarelas,4.0,,,0.0,0.0020247397591102684,1
hashtags,hashtag:acusa,16.0,,,0.0001697459223032537,0.0024093298285366442,4
hashtags,hashtag:acusaciones,11.0,,,0.0,0.005154410303266304,3
hashtags,hashtag:acusacionesfalsas,22.0,,,0.0,0.023213650445376526,1
hashtags,hashtag:acusados,22.0,,,0.0,0.023213650445376526,1
hashtags,hashtag:adi,4.0,,,0.0,0.00040095851077941457,6
hashtags,hashtag:adivitamais,4.0,,,0.0,0.0006791368325276917,6
hashtags,hashtag:admiraci,4.0,,,0.0,0.0013747056615865513,0
hashtags,hashtag:admiravelmundonovo,29.0,,,0.0,0.004103743162719225,7
hashtags,hashtag:adolescencia,17.0,,,0.0,0.0064498333144806935,2
hashtags,hashtag:adolescentes,4.0,,,0.0,0.0014042357024828778,2
hashtags,hashtag:adopcion,10.0,,,0.0,0.005835780435078432,1
hashtags,hashtag:adorni,12.0,,,0.0,0.002799423021331456,1
hashtags,hashtag:adultboutique,7.0,,,0.0,0.000651496805350993,43
hashtags,hashtag:advan,4.0,,,0.0,3.444285738063328e-05,8
hashtags,hashtag:adversariodeldogma,4.0,,,0.0,0.0004262557926161035,0
hashtags,hashtag:adviceformen,16.0,,,0.0,0.005476698057000226,5
hashtags,hashtag:advogadaleitora,21.0,,,0.0,0.004768598764886373,3
hashtags,hashtag:aestetic,11.0,,,0.0,0.001387112464300672,5
hashtags,hashtag:aesthetic,52.0,,,0.0010476897575160415,0.03959451958121098,1
hashtags,hashtag:aestheticlook,4.0,,,0.0,0.0012764914747362879,5
hashtags,hashtag:aestheticreels,29.0,,,0.0,0.006437785019358633,5
hashtags,hashtag:afaseleccion,4.0,,,0.0,0.0023888512544513857,69
hashtags,hashtag:afelpado,32.0,,,1.0436703253370697e-06,0.001891081663786306,6
hashtags,hashtag:afeto,6.0,,,1.1210359581485968e-06,0.002915112908172356,2
hashtags,hashtag:afis,12.0,,,0.0,0.0006322967190862024,4
hashtags,hashtag:aflcio,9.0,,,0.0,3.713652007067306e-05,8
hashtags,hashtag:africanamerican,17.0,,,0.0,0.003383799656707563,7
hashtags,hashtag:afrogoth,4.0,,,0.0,3.437684820214778e-05,8
hashtags,hashtag:afterwork,17.0,,,0.0,9.986825658988697e-05,8
hashtags,hashtag:agenciaemocional,4.0,,,0.0,0.0028042730592660503,2
