source,target,edge_type,weight
user:porto933,narrative:narrativa_12,user_narrative,1.0
user:saludglobal_lab,narrative:narrativa_12,user_narrative,1.0
user:piinkame,narrative:narrativa_12,user_narrative,1.0
user:ortegabetha,narrative:narrativa_12,user_narrative,1.0
user:missitmd,narrative:narrativa_12,user_narrative,1.0
user:unniverser,narrative:narrativa_12,user_narrative,1.0
user:nessewe,narrative:narrativa_12,user_narrative,1.0
user:9024kickthatbun,narrative:narrativa_12,user_narrative,1.0
user:sebitas__papitas,narrative:narrativa_12,user_narrative,1.0
user:yaazz__g,narrative:narrativa_12,user_narrative,1.0
user:yaiza.867,narrative:narrativa_12,user_narrative,1.0
user:greiilo,narrative:narrativa_12,user_narrative,1.0
user:chilliheeler04,narrative:narrativa_12,user_narrative,2.0
user:vivi.gr33n,narrative:narrativa_12,user_narrative,1.0
user:vilmont_books,narrative:narrativa_12,user_narrative,1.0
user:odet_hernandez_91,narrative:narrativa_12,user_narrative,1.0
user:horaciocabrerah,narrative:narrativa_12,user_narrative,1.0
user:rematesdeimportacionmedellin,narrative:narrativa_12,user_narrative,1.0
user:anafernandezsoria,narrative:narrativa_12,user_narrative,1.0
user:hebenaty78,narrative:narrativa_12,user_narrative,1.0
user:marielapace01,narrative:narrativa_12,user_narrative,1.0
user:colatarciana,narrative:narrativa_12,user_narrative,1.0
user:fabian_torrealba,narrative:narrativa_12,user_narrative,1.0
user:thiam_marcos_ortiz,narrative:narrativa_12,user_narrative,1.0
user:tincho_pala02,narrative:narrativa_12,user_narrative,1.0
user:paulaa.obrador,narrative:narrativa_12,user_narrative,1.0
user:gozalomartinsuarez,narrative:narrativa_12,user_narrative,1.0
user:reclamoslaborales.ros,narrative:narrativa_12,user_narrative,1.0
user:diegooliveri,narrative:narrativa_12,user_narrative,1.0
user:aymara.lama,narrative:narrativa_12,user_narrative,1.0
user:madresprotectorasmadrid,narrative:narrativa_12,user_narrative,2.0
user:fussazl,narrative:narrativa_12,user_narrative,1.0
user:sopandacp,narrative:narrativa_12,user_narrative,1.0
user:mor_rosamaria,narrative:narrativa_12,user_narrative,1.0
user:mj_mylady0000,narrative:narrativa_12,user_narrative,1.0
user:cynnavarro_,narrative:narrativa_12,user_narrative,1.0
user:casiopeawild,narrative:narrativa_12,user_narrative,1.0
user:estherconh.fotografia,narrative:narrativa_12,user_narrative,1.0
user:rubenrpg,narrative:narrativa_12,user_narrative,1.0
user:paulinadm_properties,narrative:narrativa_12,user_narrative,1.0
user:carla_roldan86,narrative:narrativa_12,user_narrative,1.0
profile:enriquesantosshow,narrative:narrativa_12,profile_narrative,2.0
profile:elespectador,narrative:narrativa_12,profile_narrative,1.0
profile:telefecordoba,narrative:narrativa_12,profile_narrative,4.0
profile:tu949fm,narrative:narrativa_12,profile_narrative,1.0
profile:eldocetv,narrative:narrativa_12,profile_narrative,2.0
profile:elintransigente,narrative:narrativa_12,profile_narrative,1.0
user:roma_belyantsev,narrative:narrativa_13,user_narrative,1.0
user:opalos_lectores_,narrative:narrativa_13,user_narrative,1.0
user:rasocarolina,narrative:narrativa_13,user_narrative,1.0
user:danaduran_,narrative:narrativa_13,user_narrative,1.0
user:mariaangelicanelson,narrative:narrativa_13,user_narrative,1.0
user:ma.julietanazar,narrative:narrativa_13,user_narrative,1.0
user:milena_mfc_2000,narrative:narrativa_13,user_narrative,1.0
user:claudiodavidmeza,narrative:narrativa_13,user_narrative,1.0
user:pedalegoncas,narrative:narrativa_13,user_narrative,1.0
user:maruvalquinta,narrative:narrativa_13,user_narrative,1.0
user:josecamposss96,narrative:narrativa_13,user_narrative,1.0
user:feli_franco,narrative:narrativa_13,user_narrative,1.0
user:encinaameli,narrative:narrativa_13,user_narrative,1.0
user:azu.carreras,narrative:narrativa_13,user_narrative,1.0
user:otumayorproblema,narrative:narrativa_13,user_narrative,1.0
user:sed_rebeldes,narrative:narrativa_13,user_narrative,1.0
user:olimpia_coral_melo,narrative:narrativa_13,user_narrative,1.0
user:sanjuan.hernandez,narrative:narrativa_13,user_narrative,1.0
user:ami020912,narrative:narrativa_13,user_narrative,1.0
profile:enriquesantosshow,narrative:narrativa_13,profile_narrative,1.0
profile:elespectador,narrative:narrativa_13,profile_narrative,1.0
profile:eldocetv,narrative:narrativa_13,profile_narrative,2.0
user:anamguerra102,narrative:narrativa_14,user_narrative,1.0
user:sil.dalessandro3,narrative:narrativa_14,user_narrative,1.0
user:judani_0120,narrative:narrativa_14,user_narrative,1.0
user:sofinzina,narrative:narrativa_14,user_narrative,1.0
user:graciela.palacios.12139862,narrative:narrativa_14,user_narrative,1.0
user:sobadiego,narrative:narrativa_14,user_narrative,1.0
user:julymanque,narrative:narrativa_14,user_narrative,1.0
user:amaru_joyas,narrative:narrativa_14,user_narrative,1.0
user:juli.oroozan,narrative:narrativa_14,user_narrative,1.0
user:sole_romy,narrative:narrativa_14,user_narrative,1.0
user:yaquiblanco13,narrative:narrativa_14,user_narrative,1.0
user:santi_y_leonel,narrative:narrativa_14,user_narrative,1.0
user:zurcgigi,narrative:narrativa_14,user_narrative,1.0
user:manuelsuagon,narrative:narrativa_14,user_narrative,1.0
user:ferih8u,narrative:narrativa_14,user_narrative,1.0
user:veromar.tfe,narrative:narrativa_14,user_narrative,1.0
user:josean9491,narrative:narrativa_14,user_narrative,1.0
user:rosarionieveszapat,narrative:narrativa_14,user_narrative,1.0
user:madresprotectorasdebarcelona,narrative:narrativa_14,user_narrative,1.0
user:radfem_madrid,narrative:narrativa_14,user_narrative,1.0
user:meralmau,narrative:narrativa_14,user_narrative,1.0
profile:el_resaltador,narrative:narrativa_14,profile_narrative,1.0
profile:eldocetv,narrative:narrativa_14,profile_narrative,2.0
user:jeovanymelgar04,narrative:narrativa_15,user_narrative,1.0
user:roxanncordoba9,narrative:narrativa_15,user_narrative,1.0
user:rosadia_,narrative:narrativa_15,user_narrative,1.0
user:simonn.fernandezz,narrative:narrativa_15,user_narrative,1.0
user:vfer_arito,narrative:narrativa_15,user_narrative,1.0
user:alba_fdezf,narrative:narrativa_15,user_narrative,1.0
user:aribarrera.mor,narrative:narrativa_15,user_narrative,1.0
user:lilianasarinanaescamilla,narrative:narrativa_15,user_narrative,1.0
user:claudia._figueroa,narrative:narrativa_15,user_narrative,1.0
user:ingridgarcia89,narrative:narrativa_15,user_narrative,1.0
profile:eldocetv,narrative:narrativa_15,profile_narrative,1.0
user:amparitochica_del_sombrero,narrative:narrativa_16,user_narrative,1.0
user:lilita_capizzano_,narrative:narrativa_16,user_narrative,1.0
user:pedrolatorre,narrative:narrativa_16,user_narrative,1.0
user:priiscilaayeleen,narrative:narrativa_16,user_narrative,1.0
user:jenk_7l,narrative:narrativa_16,user_narrative,1.0
user:anthony.latour.pty,narrative:narrativa_16,user_narrative,1.0
user:zulyamor0304,narrative:narrativa_16,user_narrative,1.0
user:carlesbatlleniubo,narrative:narrativa_16,user_narrative,1.0
