graph_type,node,degree,in_degree,out_degree,betweenness,eigenvector,community
hashtags,hashtag:acosoescolar,88.0,,,0.0024855902212671706,0.05641073273172675,1
hashtags,hashtag:acosoesdelito,41.0,,,3.231720510737152e-05,0.0428693703246581,1
hashtags,hashtag:acosoesviolencia,23.0,,,0.0,0.017150584067641316,1
hashtags,hashtag:acosof,4.0,,,0.0,0.0021064900189786445,3
hashtags,hashtag:acosofinanciero,8.0,,,0.0,0.005653773722491462,0
hashtags,hashtag:acosoinfantil,4.0,,,0.0,0.0019281586851257466,44
hashtags,hashtag:acosoméxico,29.0,,,0.0,0.036826469570496796,1
hashtags,hashtag:acosoonline,294.0,,,0.04474042218976067,0.10878282690242726,0
hashtags,hashtag:acosopsicologico,6.0,,,0.0,0.006010855274945758,0
hashtags,hashtag:acosoredessociales,22.0,,,0.0,0.00581095140782303,7
hashtags,hashtag:acosorrss,22.0,,,0.0,0.00581095140782303,7
hashtags,hashtag:acososcallejero,12.0,,,0.0,0.008318198539590971,1
hashtags,hashtag:acososcolar,10.0,,,0.0,0.00504341480016506,1
hashtags,hashtag:acososexista,9.0,,,0.0,0.014281958240253571,0
hashtags,hashtag:acososexual,87.0,,,0.009018705523631518,0.03302859906512748,3
hashtags,hashtag:acososexualdigital,74.0,,,0.0045647163228433344,0.03179853600455168,1
hashtags,hashtag:acosovirtual,256.0,,,0.04531268874656646,0.11262681097141057,0
hashtags,hashtag:acosovirtualinfantil,4.0,,,0.0,0.004927536749909789,1
hashtags,hashtag:acriacademy,1.0,,,0.0,0.0003081135864983014,0
hashtags,hashtag:act,6.0,,,0.0,0.004078293317548679,1
hashtags,hashtag:activelifestyle,17.0,,,0.0,1.1825245138941118e-05,4
hashtags,hashtag:actividadesinfantiles,22.0,,,0.0,0.003211844680476742,6
hashtags,hashtag:actividadesparanin,22.0,,,0.0,0.003211844680476742,6
hashtags,hashtag:actividadfisica,19.0,,,0.0,0.00012774710673392765,10
hashtags,hashtag:activismo,33.0,,,0.00026218380752641843,0.027436406224577155,0
hashtags,hashtag:activismofemistadigital,7.0,,,0.0,0.009161566346068612,1
hashtags,hashtag:activistas,23.0,,,0.0,0.017150584067641316,1
hashtags,hashtag:actosdeconnotacionsexual,12.0,,,0.0,0.0027047285367122844,3
hashtags,hashtag:actualidad,85.0,,,0.004134945865959611,0.050133706129082946,0
hashtags,hashtag:actualidadfamosos,26.0,,,0.0,0.008831493342327261,6
hashtags,hashtag:actualidadjur,9.0,,,0.0,0.0028126377675985457,3
hashtags,hashtag:actualidadjuridica,28.0,,,0.0,0.01224195895264163,3
hashtags,hashtag:actualidadlambayeque,11.0,,,0.0,0.008395005812260922,3
hashtags,hashtag:actualidadmundial,9.0,,,0.0,0.014281958240253571,0
hashtags,hashtag:actualidadrd,13.0,,,1.9210147875876317e-08,0.008278592032468016,0
hashtags,hashtag:actualidadvmi,9.0,,,0.0,0.012214697729723594,0
hashtags,hashtag:actuemos,3.0,,,0.0,0.0003184876442652057,0
hashtags,hashtag:acusado,12.0,,,0.0,0.0027047285367122844,3
hashtags,hashtag:adolesc,14.0,,,0.00023033411701602215,0.00513684085924751,2
hashtags,hashtag:adolescence,22.0,,,0.0,0.010554781605076806,2
hashtags,hashtag:adolescencenetflix,31.0,,,0.0005171440180358913,0.014343381482509571,2
hashtags,hashtag:adolescencepsychology,22.0,,,0.0,0.010554781605076806,2
hashtags,hashtag:adolescencereview,22.0,,,0.0,0.010554781605076806,2
hashtags,hashtag:adolescenceseries,22.0,,,0.0,0.010554781605076806,2
hashtags,hashtag:adolescencia,23.0,,,0.0003906530220933554,0.02550647758095999,0
hashtags,hashtag:adolescencianetflix,10.0,,,0.0,0.004248237814184397,2
hashtags,hashtag:adolescenciaserie,10.0,,,0.0,0.004248237814184397,2
hashtags,hashtag:adolescenciavulnerable,13.0,,,0.0,0.005505213153729324,5
