source,target,edge_type,weight
hashtag:abusosexual,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:educa,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:educacaosexual,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:educaosexualnasescolas,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:fyp,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:jogosdigitais,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:jogosonline,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:naoaoabusosexual,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:educa,hashtag:educacaosexual,hashtag_cooccurrence,1
hashtag:educa,hashtag:educaosexualnasescolas,hashtag_cooccurrence,1
hashtag:educa,hashtag:fyp,hashtag_cooccurrence,1
hashtag:educa,hashtag:jogosdigitais,hashtag_cooccurrence,1
hashtag:educa,hashtag:jogosonline,hashtag_cooccurrence,1
hashtag:educa,hashtag:naoaoabusosexual,hashtag_cooccurrence,1
hashtag:educa,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:educacaosexual,hashtag:educaosexualnasescolas,hashtag_cooccurrence,1
hashtag:educacaosexual,hashtag:fyp,hashtag_cooccurrence,1
hashtag:educacaosexual,hashtag:jogosdigitais,hashtag_cooccurrence,1
hashtag:educacaosexual,hashtag:jogosonline,hashtag_cooccurrence,1
hashtag:educacaosexual,hashtag:naoaoabusosexual,hashtag_cooccurrence,1
hashtag:educacaosexual,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:educaosexualnasescolas,hashtag:fyp,hashtag_cooccurrence,1
hashtag:educaosexualnasescolas,hashtag:jogosdigitais,hashtag_cooccurrence,1
hashtag:educaosexualnasescolas,hashtag:jogosonline,hashtag_cooccurrence,1
hashtag:educaosexualnasescolas,hashtag:naoaoabusosexual,hashtag_cooccurrence,1
hashtag:educaosexualnasescolas,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:fyp,hashtag:jogosdigitais,hashtag_cooccurrence,1
hashtag:fyp,hashtag:jogosonline,hashtag_cooccurrence,1
hashtag:fyp,hashtag:naoaoabusosexual,hashtag_cooccurrence,1
hashtag:fyp,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:jogosdigitais,hashtag:jogosonline,hashtag_cooccurrence,1
hashtag:jogosdigitais,hashtag:naoaoabusosexual,hashtag_cooccurrence,1
hashtag:jogosdigitais,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:jogosonline,hashtag:naoaoabusosexual,hashtag_cooccurrence,1
hashtag:jogosonline,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:naoaoabusosexual,hashtag:naoaoabusosexualdecriancaseadolescentes,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:abusosexualdigital,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:acosodigital,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:acosoenl,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:acosoenredes,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:chile,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:ciberacoso,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:cibern,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:ciberviolenciasexual,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:psicologia,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:psicologos,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:saludmentalchile,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:violenciadegenero,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:violenciadigital,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:violenciaeninternet,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:violenciaonline,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:violencias,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:violenciasexual,hashtag_cooccurrence,1
hashtag:abusoenlinea,hashtag:violenciavirtual,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:acosodigital,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:acosoenl,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:acosoenredes,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:chile,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:ciberacoso,hashtag_cooccurrence,2
hashtag:abusosexualdigital,hashtag:cibern,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:ciberviolenciasexual,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:psicologia,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:psicologos,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:saludmentalchile,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:violenciadegenero,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:violenciaeninternet,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:violenciaonline,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:violencias,hashtag_cooccurrence,1
hashtag:abusosexualdigital,hashtag:violenciavirtual,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:acosoenl,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:acosoenredes,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:chile,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:ciberacoso,hashtag_cooccurrence,2
hashtag:acosodigital,hashtag:cibern,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:ciberviolenciasexual,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:psicologia,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:psicologos,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:saludmentalchile,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:violenciadegenero,hashtag_cooccurrence,2
hashtag:acosodigital,hashtag:violenciadigital,hashtag_cooccurrence,2
hashtag:acosodigital,hashtag:violenciaeninternet,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:violenciaonline,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:violencias,hashtag_cooccurrence,1
hashtag:acosodigital,hashtag:violenciasexual,hashtag_cooccurrence,1
